iter	Passed	Remaining
839	50470	9613
840	50530	9553
841	50581	9491
842	50636	9430
843	50693	9369
844	50750	9309
845	50802	9247
846	50856	9186
847	50908	9125
848	50960	9063
849	51014	9002
850	51073	8942
851	51125	8880
852	51189	8821
853	51241	8760
854	51294	8699
855	51351	8638
856	51404	8577
857	51464	8517
858	51524	8457
859	51584	8397
860	51648	8338
861	51706	8277
862	51758	8216
863	51816	8156
864	51887	8098
865	51948	8038
866	52004	7977
867	52057	7916
868	52128	7858
869	52185	7797
870	52241	7737
871	52298	7676
872	52360	7617
873	52413	7556
874	52471	7495
875	52525	7435
876	52586	7375
877	52646	7315
878	52702	7254
879	52767	7195
880	52836	7136
881	52898	7077
882	52955	7016
883	53013	6956
884	53073	6896
885	53123	6835
886	53174	6774
887	53229	6713
888	53289	6653
889	53349	6593
890	53409	6533
891	53468	6473
892	53528	6413
893	53587	6353
894	53641	6293
895	53697	6232
896	53761	6173
897	53822	6113
898	53878	6053
899	53933	5992
900	54001	5933
901	54059	5873
902	54114	5812
903	54169	5752
904	54228	5692
905	54284	5632
906	54336	5571
907	54390	5510
908	54445	5450
909	54499	5390
910	54557	5329
911	54608	5269
912	54675	5210
913	54730	5149
914	54787	5089
915	54852	5030
916	54923	4971
917	54978	4910
918	55032	4850
919	55086	4790
920	55141	4729
921	55201	4669
922	55255	4609
923	55309	4549
924	55370	4489
925	55428	4429
926	55478	4368
927	55529	4308
928	55591	4248
929	55654	4189
930	55707	4128
931	55761	4068
932	55818	4008
933	55879	3948
934	55933	3888
935	55986	3828
936	56041	3768
937	56108	3708
938	56163	3648
939	56212	3588
940	56272	3528
941	56326	3468
942	56380	3407
943	56432	3347
944	56484	3287
945	56550	3228
946	56606	3168
947	56656	3107
948	56709	3047
949	56763	2987
950	56828	2928
951	56884	2868
952	56932	2807
953	56982	2747
954	57035	2687
955	57094	2627
956	57150	2567
957	57205	2507
958	57268	2448
959	57320	2388
960	57375	2328
961	57431	2268
962	57492	2208
963	57550	2149
964	57600	2089
965	57648	2029
966	57710	1969
967	57766	1909
968	57822	1849
969	57877	1790
970	57931	1730
971	57993	1670
972	58043	1610
973	58092	1550
974	58142	1490
975	58203	1431
976	58255	1371
977	58309	1311
978	58377	1252
979	58433	1192
980	58484	1132
981	58541	1073
982	58592	1013
983	58652	953
984	58707	894
985	58759	834
986	58811	774
987	58873	715
988	58927	655
989	58983	595
990	59036	536
991	59097	476
992	59155	417
993	59208	357
994	59258	297
995	59308	238
996	59371	178
997	59422	119
998	59475	59
999	59542	0
